recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
San Diegans for Nathan Fletcher - Mayor 2012,2012,Nathan Fletcher,San Diegans for Nathan Fletcher - Mayor 2012,1344413,San Diego Mayor,Support
San Diegans for Reform in Opposition to Bob Filner - Mayor 2012,2012,Bob Filner,San Diegans for Reform in Opposition to Bob Filner - Mayor 2012,1350880,San Diego Mayor,Oppose
"San Diegans for Retirement Security - Oppose DeMaio for Mayor 2012, sponsored by American Federation of State, County and Municipal Employees AFL-CIO, American Federation of State, County Municipal",2012,Carl DeMaio,"San Diegans for Retirement Security - Oppose DeMaio for Mayor 2012, sponsored by American Federation of State, County and Municipal Employees AFL-CIO, American Federation of State, County Municipal",1346793,San Diego Mayor,Oppose
San Diegans in Support of Bob Filner,2012,Bob Filner,San Diegans in Support of Bob Filner for Mayor - 2012,1348569,San Diego Mayor,Support
San Diegans in Support of Bob Filner for Mayor - 2012,2012,Bob Filner,San Diegans in Support of Bob Filner for Mayor - 2012,1348569,San Diego Mayor,Support
San Diegans in Support of Bob Filner for Mayor 2012,2012,Bob Filner,San Diegans in Support of Bob Filner for Mayor - 2012,1348569,San Diego Mayor,Support
"San Diego Can Do Better, No on B for Retirement Fairness, sponsored by American Federation of State, County and Municipal Employees AFL-CIO, American Federation of State, County and Municipal Employ",2012,B: Amends City Charter regarding retirement benefits,"San Diego Can Do Better, No on B for Retirement Fairness, sponsored by American Federation of State, County and Municipal Employees AFL-CIO, American Federation of State, County and Municipal Employ",1346628,,Oppose
"San Diego City Fire Fighters, Local 145 PAC",2012,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego City Firefighters Local 145 PAC,2012,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Building & Construction Trades Council,2012,,San Diego County Building & Construction Trades Council,1347561,,
San Diego Co. Democratic Party,2012,,San Diego County Democratic Party,741906,,
San Diego County Democratic Party,2012,,San Diego County Democratic Party,741906,,
SD Neighborhood Schools Classroom Safety & Repair,2012,,San Diego County Democrats for Environmental Action,1369147,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2012,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego County Young Democrats,2012,,San Diego County Young Democrats,1265034,,
San Diego Democratic Club,2012,,San Diego Democratic Club,861405,,
San Diego Democrats for Equality,2012,,San Diego Democrats for Equality,,,
San Diego Lodging Industry Association PAC,2012,,San Diego Lodging Industry Association PAC,1245333,,
San Diego Police Officer's Association PAC,2012,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Police Officers Assn. Political Action Committee,2012,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Police Officers' Association PAC,2012,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),2012,,San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),1335312,,
San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,2012,,San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,1258295,,
San Diego Works! Sponsored by the San Diego-Imperial Counties Labor Council AFL-CIO,2012,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
Scott Hasson,2012,Scott Hasson,Scott Hasson,,San Diego Community College Board of Trustees Area B,
Scott Sherman,2012,Scott Sherman ,Scott Sherman ,,San Diego City Council District 7,
Sherman for Council 2012,2012,Scott Sherman ,Sherman for Council 2012,1340335,San Diego City Council District 7,Support
Sherri Lightner,2012,Sherri Lightner,Sherri Lightner ,,San Diego City Council District 1,
Sherri Lightner For City Council 2012,2012,Sherri Lightner,Sherri Lightner For City Council 2012,1339183,San Diego City Council District 1,Support
Shirley Weber,2012,Shirley Weber,Shirley Weber,,CA Assembly District 79,
Steve Danon,2012,Steve Danon,Steve Danon,,San Diego County Supervisor District 3,
Steve Vaus,2012,Steve Vaus,Steve Vaus,,Poway City Council,
Lemon Grove Marijuana Dispensary Authorization Ordinance,2012,T: Adopting the Lemon Grove Marijuana Dispensary Authorization Ordinance (Lemon Grove),T: Adopting the Lemon Grove Marijuana Dispensary Authorization Ordinance (Lemon Grove),,,
Taxpayers for Carl DeMaio - Mayor 2012,2012,Carl DeMaio,Taxpayers for Carl DeMaio - Mayor 2012,1345160,San Diego Mayor,Support
"Taxpayers to Preserve Community Jobs, No on Measure A, sponsored by labor and management organizations",2012,A: Prohibits the City from requiring project labor agreements on City construction projects,"Taxpayers to Preserve Community Jobs, No on Measure A, sponsored by labor and management organizations",1344551,,Oppose
The Infrastructure PAC of the Associated General Contractors,2012,,The Infrastructure PAC of the Associated General Contractors,94-0906,,
Toby Joe Lewandoski for San Diego Mayor 2012,2012,Toby Joe Lewandoski ,Toby Joe Lewandoski for San Diego Mayor 2012,1343820,San Diego Mayor,Support
Todd Gloria for City COuncil 2012,2012,Todd Gloria,Todd Gloria for City Council 2012,1339121,San Diego City Council District 3,Support
Toni Atkins,2012,Toni Atkins,Toni Atkins,,CA Assembly District 78,
Tony Ambrose,2012,Tony Ambrose,Tony Ambrose,,El Cajon City Council,
Tony Young for City Council 2010,2012,Tony Young ,Tony Young for City Council 2010,1319082,San Diego City Council District 4,Support
Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012,2012,Carl DeMaio,"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",1338945,,Oppose
"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",2012,Carl DeMaio,"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",1338945,,Oppose
Unite Here San Diego,2012,,Unite Here San Diego: a Sponsored Committee of Unite Here International and Unite Here Local 30,1322418,,
UFCW Local 135 PAC,2012,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
Measure V - Bond Measure,2012,V: Issuing $398 Million in Bonds (Grossmont-Cuyamaca Community College District),V: Issuing $398 Million in Bonds (Grossmont-Cuyamaca Community College District),,,
AN INITIATIVE AMENDING THE SOLANA BEACH MUNICIPAL CODE TO ALLOW MEDICAL MARIJUANA DISPENSARIES IN NONRESIDENTIAL ZONES IN THE CITY OF SOLANA BEACH,2012,W: An Initiative Amending the Solana Beach Municipal Code to Allow Medical Marijuana Dispensaries in Nonresidential Zones in the City of Solana Beach (Solana Beach),W: An Initiative Amending the Solana Beach Municipal Code to Allow Medical Marijuana Dispensaries in Nonresidential Zones in the City of Solana Beach (Solana Beach),,,
William Stewart,2012,William Stewart,William Stewart,,Southwestern Community College District Governing Board Seat 1,
No on Z,2012,Z: Issuing $2.8 Billion in Bonds (San Diego Unified School District),Z: Issuing $2.8 Billion in Bonds (San Diego Unified School District),,,
Proposition Z - San Diego Unified School District,2012,Z: Issuing $2.8 Billion in Bonds (San Diego Unified School District),Z: Issuing $2.8 Billion in Bonds (San Diego Unified School District),,,
San Diego City Compassionate Use Regulation and Taxation Act,2012,,,,,
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",2013,,"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",901908,,
Azul for City Council 2014,2013,Don Azul ,Azul for City Council 2014,1358218,San Diego City Council District 6,Support
Barbara Delgleize,2013,Barbara Delgleize ,Barbara Delgleize ,,Huntington Beach City Council,
Bill Quirk,2013,Bill Quirk ,Bill Quirk ,,CA Assembly District 20,
Blanca Lopez-Brown,2013,Blanca Lopez Brown,Blanca Lopez Brown,,San Diego City Council District 1,
Bob Filner for Mayor 2012,2013,Bob Filner,Bob Filner for Mayor 2012,1339185,San Diego Mayor,Support
Bonnie Dumanis for Mayor 2012,2013,Bonnie Dumanis,Bonnie Dumanis for Mayor 2012,1337343,San Diego Mayor,Support
Brian 'Barry' POLLARD FOR CITY COUNCIL 2013,2013,Brian 'Barry' POLLARD ,Brian 'Barry' POLLARD FOR CITY COUNCIL 2013,1354752,San Diego City Council District 4,Support
Bruce Williams,2013,Bruce Williams,Bruce Williams,,San Diego City Council District 4,
Bruce Williams For San Diego City Council 2013,2013,Bruce Williams,Bruce Williams For San Diego City Council 2013,1354370,San Diego City Council District 4,Support
Safe Antioch,2013,"C: Adopt a one-half cent use (sales) tax (Antioch, CA)","C: Adopt a one-half cent use (sales) tax (Antioch, CA)",,,
Calif. Apartment Assoc. Ind. Exp. Comm.,2013,,California Apartment Association Independent Expenditure Committee,1294628,,
California Apartment Association Political Action Committee,2013,,California Apartment Association Political Action Committee,745208,,
California College Republicans,2013,,California College Republicans,1253074,,
Calif. Republican Leadership Fund,2013,,California Republican Leadership Fund,1340317,,
California Republican Party,2013,,California Republican Party,810163,,
Candace Anderson,2013,Candace Anderson ,Candace Anderson ,,Contra Costa County Supervisor District 2,
Carl DeMaio for Mayor 2012,2013,Carl DeMaio,Carl DeMaio for Mayor 2012,1334720,San Diego Mayor,Support
Carl DeMaio for Mayor 2013 Research Expense Settlement Fund,2013,Carl DeMaio,Carl DeMaio for Mayor 2013 Research Expense Settlement Fund,1360335,,Support
Carol Kim for City Council 2014,2013,Carol Kim,Carol Kim for City Council 2014,1359070,San Diego City Council District 6,Support
Cate for Council 2014,2013,Chris Cate,Cate for Council 2014,1356881,San Diego City Council District 6,Support
Central City Assoc. PAC,2013,,Central City Association Political Action Committee,890198,,
Chris Holden,2013,Chris Holden ,Chris Holden ,,CA Assembly District 41,
Chris Ward for City Council 2016,2013,Chris Ward ,Chris Ward for City Council 2016,1360787,San Diego City Council District 3,Support
Linkage Fee Referendum,2013,City of San Diego Linkage Fee Referendum,City of San Diego Linkage Fee Referendum,,,
Committee to elect Blanca Lopez Brown for Councilmember,2013,Blanca Lopez Brown,Committee to elect Blanca Lopez Brown for Councilmember,1355430,San Diego City Council District 1,Support
Committee to Elect Bruce Coons For Mayor 2013,2013,Bruce Coons,Committee to Elect Bruce Coons For Mayor 2013,1360852,San Diego Mayor,Support
"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",2013,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
Crenshaw for City Council 2013,2013,Dwayne Crenshaw,Crenshaw for City Council 2013,1354758,San Diego City Council District 4,Support
DAVID ALVAREZ,2013,David Alvarez,David Alvarez,,San Diego Mayor,
David Alvarez,2013,David Alvarez,David Alvarez,,San Diego City Council District 8,
David Alvarez,2013,David Alvarez,David Alvarez,,San Diego Mayor,
David Alvarez for Mayor 2013,2013,David Alvarez,David Alvarez for Mayor 2013,1360332,San Diego Mayor,Support
Dennis Michael,2013,Dennis Michael ,Dennis Michael ,,Rancho Cucamonga Mayor,
Dirks For Mayor 2013,2013,Harry J. Dirks,Dirks For Mayor 2013,1360819,San Diego Mayor,Support
Don Rocha,2013,Don Rocha ,Don Rocha ,,San Jose City Council,
Ellis for Council 2012,2013,Ray Ellis,Ellis for Council 2012,1341190,San Diego City Council District 1,Support
Environmental Health and Justice Campaign Fund Working to Elect David Alvarez for Mayor 2013,2013,David Alvarez,Environmental Health and Justice Campaign Fund Working to Elect David Alvarez for Mayor 2013,1352009,San Diego Mayor,Support
Evan Low,2013,Evan Low ,Evan Low ,,CA Assembly District 28,
Faulconer for Council 2010,2013,Kevin Faulconer,Faulconer for Council 2010,1318781,San Diego City Council District 2,Support
Faulconer for Mayor 2014,2013,Kevin Faulconer,Faulconer for Mayor 2014,1360150,San Diego Mayor,Support
Felipe Fuentes,2013,Felipe Fuentes ,Felipe Fuentes ,,Los Angeles City Council District 7,
Fletcher for Mayor 2013,2013,Nathan Fletcher,Fletcher for Mayor 2013,1359831,San Diego Mayor,Support
Fred Whitaker,2013,Fred Whitaker ,Fred Whitaker ,,Orange City Council Member,
Friends to Elect Ray Smith 4th Council 2013,2013,Ray Smith,Friends to Elect Ray Smith 4th Council 2013,1354911,San Diego City Council District 4,Support
Gene Hernandez,2013,Gene Hernandez ,Gene Hernandez ,,Yorba Linda City Council Member,
Glenn Hendricks,2013,Glenn Hendricks ,Glenn Hendricks ,,Sunnyvale City Council Member,
Gustav Larsson,2013,Gustav Larsson ,Gustav Larsson ,,Sunnyvale City Council,
James Ramos,2013,James Ramos ,James Ramos ,,San Bernardino County Supervisor District 3,
Jeff Rosen,2013,Jeff Rosen ,Jeff Rosen ,,Santa Clara County District Attorney,
Jim Griffith,2013,Jim Griffith ,Jim Griffith ,,Sunnyvale City Council Member,
Jim Morrison for City Council,2013,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
Jim Wood,2013,Jim Wood ,Jim Wood ,,CA Assembly District 2,
Joe Buscaino,2013,Joe Buscaino ,Joe Buscaino ,,Long Beach City Council District 15,
John Perez,2013,John Perez,John Perez,,CA Controller,
John Roberts,2013,John Roberts ,John Roberts ,,Fontana City Council,
John Tavaglione,2013,John Tavaglione,John Tavaglione,,Riverside County Supervisor,
Jordan Brandman,2013,Jordan Brandman ,Jordan Brandman ,,Anaheim City Council,
Karen Mitchoff,2013,Karen Mitchoff ,Karen Mitchoff ,,Contra Costa County Supervisor,
Kemmer For Mayor 2013,2013,Michael Kemmer ,Kemmer For Mayor 2013,1361945,San Diego Mayor,Support
Ken Yeager,2013,Ken Yeager ,Ken Yeager ,,Santa Clara County Supervisor,
Kersey for Council 2012,2013,Mark Kersey,Kersey for Council 2012,1338545,San Diego City Council District 5,Support
Kevin Faulconer,2013,Kevin Faulconer,Kevin Faulconer,,San Diego Mayor,
Laborers LOCAL 89 PAC FUND,2013,,Laborers LOCAL 89 PAC FUND,1316497,,
Larry Stone,2013,Larry Stone ,Larry Stone ,,Santa Clara County Assessor,
Laurie Smith,2013,Laurie Smith ,Laurie Smith ,,Santa Clara County Sheriff-Coroner,
Leland Yee,2013,Leland Yee ,Leland Yee ,,CA Secretary of State,
LETICIA PEREZ,2013,Leticia Perez,Leticia Perez,,,
Lincoln Club of San Diego County,2013,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2013,,Lincoln Club of SD County,831561/C00177766,,
Lorena Gonzalez,2013,Lorena Gonzalez,Lorena Gonzalez,,CA Assembly District 80,
Madison Nguyen,2013,Madison Nguyen ,Madison Nguyen ,,San Jose Mayor,
Magdalena Carrasco,2013,Magdalena Carrasco ,Magdalena Carrasco ,,San Jose City Council District 9,
Mark Peterson,2013,Mark Peterson ,Mark Peterson ,,Contra Costa District Attorney,
Mat Kostrinsky for City Council 2012,2013,Mat Kostrinsky ,Mat Kostrinsky for City Council 2012,1340950,San Diego City Council District 7,Support
Mayor Bob Filner for San Diego Committee,2013,Bob Filner,Mayor Bob Filner for San Diego Committee,1355866,San Diego Mayor,Support
Miguel Santiago,2013,Miguel Santiago ,Miguel Santiago ,,CA Assembly District 53,
Mike Aguirre for Mayor 2013,2013,Mike Aguirre,Mike Aguirre for Mayor 2013,1360503,San Diego Mayor,Support
Mike Wasserman,2013,Mike Wasserman ,Mike Wasserman ,,San Mateo County Supervisor,
Mitz Lee for City Council 2014,2013,Mitz Lee ,Mitz Lee for City Council 2014,1358131,San Diego City Council District 6,Support
Myrtle Cole,2013,Myrtle Cole,Myrtle Cole,,San Diego City Council District 4,
Myrtle Cole for City Council 2013,2013,Myrtle Cole,Myrtle Cole for City Council 2013,1354342,San Diego City Council District 4,Support
Myrtle Cole For City Council 2014,2013,Myrtle Cole,Myrtle Cole For City Council 2014,1362102,San Diego City Council District 4,Support
Nathan Fletcher,2013,Nathan Fletcher,Nathan Fletcher,,San Diego Mayor,
Nathan Magsig,2013,Nathan Magsig,Nathan Magsig,,Clovis City Council Member,
Neighborhoods for Clean Elections,2013,,Neighborhoods for Clean Elections,1280768,,
Neighborhoods for Nathan Fletcher for Mayor 2013 (Independent Expenditure),2013,Nathan Fletcher,Neighborhoods For Nathan Fletcher For Mayor 2013 Independent Expenditure,1361479,San Diego Mayor,Support
Neighborhoods For Nathan Fletcher For Mayor 2013 Independent Expenditure,2013,Nathan Fletcher,Neighborhoods For Nathan Fletcher For Mayor 2013 Independent Expenditure,1361479,San Diego Mayor,Support
New Car Dealers Association PAC,2013,,New Car Dealers Association PAC,902797,,
No Committee City Attorney Jan Goldsmith,2013,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
No Committee Dist 2 Lorie Zapf,2013,Lorie Zapf,No Committee Dist 2 Lorie Zapf,,,
Nuestro Pueblo Unido Para el Progreso in support of Blanca Lopez Brown for City Council 2013,2013,Blanca Lopez Brown,Nuestro Pueblo Unido Para el Progreso in support of Blanca Lopez Brown for City Council 2013,1356263,San Diego City Council District 1,Support
Nury Martinez,2013,Nury Martinez ,Nury Martinez ,,Los Angeles City Council District 6,
Pete Constant,2013,Pete Constant ,Pete Constant ,,San Jose Mayor,
Phil Thalheimer for City Council,2013,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
Phil Ting,2013,Phil Ting ,Phil Ting ,,CA Assembly District 19,
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2013,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Protect Our Jobs  No On B And C Port of SD Ship Repair Assn Major Funding By NASSCO and BAE Systems,2013,B: Referendum of a resolution related to Barrio Logan community plan update,Protect Our Jobs  No On B And C Port of SD Ship Repair Assn Major Funding By NASSCO and BAE Systems,1360951,,Oppose
Councilmember Lane,2013,Randon Lane,Randon Lane,,Murrieta City Council Member,
Ray Grangoff,2013,Ray Grangoff ,Ray Grangoff ,,Orange City Council Member,
Re-elect District Attorney Bonnie Dumanis 2014,2013,Bonnie Dumanis,Re-elect District Attorney Bonnie Dumanis 2014,1265027,San Diego Mayor,Support
Recall Bob Filner,2013,Bob Filner,Recall Bob Filner,1359334,,Oppose
Reform San Diego,2013,,Reform San Diego,1268914,,
Republican Party of Orange County,2013,,Republican Party of Orange County,742088,,
Republican Party of San Diego County,2013,,Republican Party of San Diego County,741949,,
Restoring Trust in San Diego - A Committee to Support Nathan Fletcher for Mayor 2013,2013,Nathan Fletcher,Restoring Trust in San Diego - A Committee to Support Nathan Fletcher for Mayor 2013,1360475,San Diego Mayor,Support
Richard Pan,2013,Richard Pan,Richard Pan,,CA Senate District 6,
Rising Majority,2013,,Rising Majority,1360628,,
Robert Hertzberg,2013,Robert Hertzberg ,Robert Hertzberg ,,CA Senate District 18,
Ron Galperin,2013,Ron Galperin ,Ron Galperin ,,Los Angeles City Controller,
Rose Herrera,2013,Rose Herrera ,Rose Herrera ,,San Jose Mayor,
Sam liccardo,2013,Sam Liccardo ,Sam Liccardo ,,San Jose Mayor,
San Diegans for Bob Filner for Mayor 2012,2013,Bob Filner,San Diegans for Bob Filner for Mayor 2012,1348840,San Diego Mayor,Support
San Diegans for Reform in Opposition to Bob Filner - Mayor 2012,2013,Bob Filner,San Diegans for Reform in Opposition to Bob Filner - Mayor 2012,1350880,San Diego Mayor,Oppose
San Diegans for Strong Neighborhoods in Support of Bruce Williams for City Council 2013,2013,Bruce Williams,San Diegans for Strong Neighborhoods in Support of Bruce Williams for City Council 2013,1356117,San Diego City Council District 4,Support
San Diegans in Support of Bob Filner for Mayor - 2012,2013,Bob Filner,San Diegans in Support of Bob Filner for Mayor - 2012,1348569,San Diego Mayor,Support
San Diegans in Support of David Alvarez for Mayor - 2013,2013,David Alvarez,San Diegans in Support of David Alvarez for Mayor - 2013,1360642,San Diego Mayor,Support
"SAN DIEGANS TO PROTECT JOBS & THE ECONOMY, SUPPORTING KEVIN FAULCONER FOR MAYOR 2013",2013,Kevin Faulconer,"San Diegans to Protect Jobs & the Economy, Supporting Kevin Faulconer for Mayor 2013",1360473,San Diego Mayor,Support
"San Diegans to Protect Jobs & the Economy, Supporting Kevin Faulconer for Mayor 2014",2013,Kevin Faulconer,"San Diegans to Protect Jobs & the Economy, Supporting Kevin Faulconer for Mayor 2014",1360473,San Diego Mayor,Support
"San Diego City Fire Fighters, Local 145 PAC",2013,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego City Firefighters Local 145 PAC,2013,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Building & Construction Trades Council,2013,,San Diego County Building & Construction Trades Council,1347561,,
San Diego Co. Democratic Party,2013,,San Diego County Democratic Party,741906,,
San Diego County Democratic Party,2013,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2013,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego County Voters For Progress And Reform,2013,,San Diego County Voters for Progress and Reform,1351510,,
San Diego County Voters for Progress and Reform,2013,,San Diego County Voters for Progress and Reform,1351510,,
San Diego Lodging Industry Association PAC,2013,,San Diego Lodging Industry Association PAC,1245333,,
San Diego Police Officers Assn. Political Action Committee,2013,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Police Officers Association PAC,2013,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),2013,,San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),1335312,,
San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,2013,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
San Jose/Silicon Valley Chamber of Commerce PAC,2013,,San Jose Silicon Valley Chamber of Commerce Political Action Committee (ChamberPAC),820668,,
Sandy Spackman for City Council,2013,Sandy Spackman ,Sandy Spackman for City Council,1354330,San Diego City Council District 4,Support
Sarah Boot for City Council 2014,2013,Sarah Boot ,Sarah Boot for City Council 2014,1359642,San Diego City Council District 2,Support
Scott Peters,2013,Scott Peters ,Scott Peters,,U.S. Representative District 52,
Sebastian Ridley-Thomas,2013,Sebastian Ridley-Thomas,Sebastian Ridley-Thomas,,CA Assembly District 54,
Sherman for Council 2012,2013,Scott Sherman ,Sherman for Council 2012,1340335,San Diego City Council District 7,Support
Sherri Lightner For City Council 2012,2013,Sherri Lightner,Sherri Lightner For City Council 2012,1339183,San Diego City Council District 1,Support
"Stop the Jobs Killing Tax, a Coalition of Jobs Creators, Economic Development, Business and Real Estate Organizations Concerned About the San Diego Economy",2013,,"Stop the Jobs Killing Tax, a Coalition of Jobs Creators, Economic Development, Business and Real Estate Organizations Concerned About the San Diego Economy",1362423,,
Taxpayers for Carl DeMaio - Mayor 2012,2013,Carl DeMaio,Taxpayers for Carl DeMaio - Mayor 2012,1345160,San Diego Mayor,Support
Ted Lieu,2013,Ted Lieu ,Ted Lieu ,,CA Senate District 28,
The Infrastructure PAC of the Associated General Contractors,2013,,The Infrastructure PAC of the Associated General Contractors,94-0906,,
Todd Gloria for City COuncil 2012,2013,Todd Gloria,Todd Gloria for City Council 2012,1339121,San Diego City Council District 3,Support
Todd Spitzer,2013,Todd Spitzer ,Todd Spitzer ,,Orange County Supervisor,
Toni Atkins,2013,Toni Atkins,Toni Atkins,,CA Assembly District 76,
Tony Rackauckas,2013,Tony Rackauckas ,Tony Rackauckas ,,Orange District Attorney,
"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",2013,Carl DeMaio,"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",1338945,,Oppose
Travis Allen,2013,Travis Allen ,Travis Allen ,,CA Assembly District 72,
Unite Here San Diego,2013,,Unite Here San Diego: a Sponsored Committee of Unite Here International and Unite Here Local 30,1322418,,
UFCW Local 135 PAC,2013,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
United Food and Commercial Workers Union Local 135 PAC,2013,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
Wendy Bucknum,2013,Wendy Bucknum ,Wendy Bucknum ,,Mission Viejo City Council,
"Working Families for A Better San Diego To Support David Alvarez for Mayor 2014,",2013,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",2013,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
Working Families for A Better San Diego to Support David Alvarez Sponsored by San Diego and Imperial Counties Labor Council AFL-CIO,2013,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
"Working Together for Neighborhood Fairness, in opposition to David Alvarez for Mayor 2014, sponsored by the Lincoln Club of San Diego County",2013,David Alvarez,"Working Together for Neighborhood Fairness, in opposition to David Alvarez for Mayor 2014, sponsored by the Lincoln Club of San Diego County",1362467,,Oppose
Proposition Z - San Diego Unified School District,2013,Z: Issuing $2.8 Billion in Bonds (San Diego Unified School District),Z: Issuing $2.8 Billion in Bonds (San Diego Unified School District),,,
Zombies for Responsible Government Opposing Nathan Fletcher for Mayor 2013,2013,Nathan Fletcher,Zombies for Responsible Government Opposing Nathan Fletcher for Mayor 2013,1361563,,Oppose
Make California Strong,2013,,,,,
Adrian Arancibia,2014,Adrian Arancibia ,Adrian Arancibia ,,Sweetwater Union High School District Board Trustee Area 2,
Alex Padilla,2014,Alex Padilla,Alex Padilla,,CA Secretary of State,
Alicia Munoz,2014,Alicia Munoz ,Alicia Munoz ,,San Diego County Board of Education District 3,
American Federation of State County & Municipal Employees-CA People (AFSCME CA People) Independent Expenditure Committee,2014,,American Federation of State County & Municipal Employees-CA People (AFSCME CA People) Independent Expenditure Committee,1270707,,
AFT Guild Local 1931 - COPE,2014,,"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",901908,,
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",2014,,"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",901908,,
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont Community COPE",2014,,"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",901908,,
Proposition 45 - Preapproval for Health Insurance Increases,2014,45: Approval of Healthcare Insurance Rate Changes. Initiative Statute. (Statewide),Approval of Healthcare Insurance Rate Changes. Initiative Statute. (Statewide),,,
Arturo Solis,2014,Arturo Solis ,Arturo Solis ,,Sweetwater Union High School District Board Trustee Area 1,
City of San Diego Barrio Logan Community Plan,2014,B: Referendum of a resolution related to Barrio Logan community plan update,B: Referendum of a resolution related to Barrio Logan community plan update,,,
